"Report Date","Borough","Community Districts","Census Type","Adult Family Commercial Hotel","Adult Family Shelter","Adult Shelter","Adult Shelter Commercial Hotel","Family Cluster","Family with Children Commercial Hotel","Family with Children Shelter"
"02/28/2026","Brooklyn","12","Individuals",,,"126",,,,"122"
"02/28/2026","Brooklyn","9","Individuals",,,"353",,,,"432"
"02/28/2026","Brooklyn","8","Individuals",,,"456","90",,,"573"
"02/28/2026","Brooklyn","7","Individuals",,,"343","405",,"318","342"
"02/28/2026","Brooklyn","6","Individuals",,"104","520","280",,"111","517"
"02/28/2026","Brooklyn","5","Individuals",,,"995","427",,"718","1,011"
"02/28/2026","Brooklyn","4","Individuals",,,"199","136",,"40","798"
"02/28/2026","Brooklyn","3","Individuals",,,"808","360",,"469","438"
"02/28/2026","Brooklyn","2","Individuals",,"52","766",,,,"333"
"02/28/2026","Brooklyn","1","Individuals",,"172","1,207",,,"382",
"02/28/2026","Bronx","12","Individuals",,,"573",,,"265","1,092"
"02/28/2026","Bronx","11","Individuals",,,"190",,,,
"02/28/2026","Bronx","10","Individuals",,,,,,,"537"
"02/28/2026","Bronx","9","Individuals",,,"265",,,"278","1,536"
"02/28/2026","Bronx","8","Individuals",,,,,,,"595"
"02/28/2026","Bronx","7","Individuals",,,"764",,,"211","968"
"02/28/2026","Bronx","6","Individuals",,,"92","89",,"1,127","1,808"
"02/28/2026","Bronx","5","Individuals",,"207","680",,,"165","1,138"
"02/28/2026","Bronx","4","Individuals",,,"425",,,"307","2,003"
"02/28/2026","Bronx","3","Individuals",,,"749","123",,,"1,246"
"02/28/2026","Bronx","2","Individuals",,"115",,,,,"806"
"02/28/2026","Bronx","1","Individuals",,,"649","155",,"220","1,515"
"01/31/2026","Bronx","3","Individuals",,,"778","119",,,"1,266"
"01/31/2026","Staten Island","2","Individuals",,,"44",,,,"196"
"01/31/2026","Staten Island","1","Individuals",,,"96","110",,"41","478"
"01/31/2026","Queens","14","Individuals",,"256","202","200",,"231",
"01/31/2026","Queens","13","Individuals",,"70","406","776",,,"579"
"01/31/2026","Queens","12","Individuals",,"521","775","546",,"6,299","1,244"
"01/31/2026","Queens","11","Individuals",,,"75",,,"174",
"01/31/2026","Queens","10","Individuals",,,"169","165",,"669",
"01/31/2026","Queens","9","Individuals",,,"111",,,,
"01/31/2026","Queens","8","Individuals",,,"172",,,"158","297"
"01/31/2026","Queens","7","Individuals",,,"322",,,"76",
"01/31/2026","Queens","6","Individuals",,,"100",,,,"244"
"01/31/2026","Queens","5","Individuals",,,"194",,,,"231"
"01/31/2026","Queens","4","Individuals",,,,"242",,,"551"
"01/31/2026","Queens","3","Individuals",,"208",,"157",,"1,888","819"
"01/31/2026","Queens","2","Individuals",,"293","234","118",,"993","267"
"01/31/2026","Queens","1","Individuals",,,"338","124",,"3,819","578"
"01/31/2026","Manhattan","12","Individuals",,,"430",,,,
"01/31/2026","Manhattan","11","Individuals",,,"1,017",,,,"466"
"01/31/2026","Manhattan","10","Individuals",,,"753",,,,"638"
"01/31/2026","Manhattan","9","Individuals",,,"23",,,,"574"
"01/31/2026","Manhattan","8","Individuals",,,"73",,,"551",
"01/31/2026","Manhattan","7","Individuals",,"352","375",,,"960","332"
"01/31/2026","Manhattan","6","Individuals",,,"475",,,"251","573"
"01/31/2026","Manhattan","5","Individuals",,"321","79","43",,"2,745","380"
"01/31/2026","Manhattan","4","Individuals","155",,"329","309",,"1,103","354"
"01/31/2026","Bronx","2","Individuals",,"112",,,,,"779"
"01/31/2026","Manhattan","3","Individuals",,,"773","138",,"93","95"
"01/31/2026","Bronx","1","Individuals",,,"660","159",,"223","1,463"
"01/31/2026","Manhattan","1","Individuals",,,,,,"373",
"01/31/2026","Brooklyn","18","Individuals",,"356",,,,"307","771"
"01/31/2026","Brooklyn","17","Individuals",,,,"107",,"181","1,571"
"01/31/2026","Brooklyn","16","Individuals",,,"956","434",,"595","2,218"
"01/31/2026","Brooklyn","15","Individuals",,,,,,"451","154"
"01/31/2026","Brooklyn","14","Individuals",,,"510",,,,"52"
"01/31/2026","Brooklyn","13","Individuals",,,,"76",,,"358"
"01/31/2026","Brooklyn","12","Individuals",,,"129",,,,"123"
"01/31/2026","Brooklyn","9","Individuals",,,"363",,,,"423"
"01/31/2026","Brooklyn","8","Individuals",,,"461","89",,,"553"
"01/31/2026","Brooklyn","7","Individuals",,,"342","402",,"313","362"
"01/31/2026","Brooklyn","6","Individuals",,"109","886","267",,"116","505"
"01/31/2026","Brooklyn","5","Individuals",,,"1,013","433",,"673","1,011"
"01/31/2026","Brooklyn","4","Individuals",,,"198","137",,"62","807"
"01/31/2026","Brooklyn","3","Individuals",,,"842","357",,"352","431"
"01/31/2026","Brooklyn","2","Individuals",,"50","795",,,,"335"
"01/31/2026","Brooklyn","1","Individuals",,"156","1,234",,,"381",
"01/31/2026","Bronx","12","Individuals",,,"575",,,"265","1,083"
"01/31/2026","Bronx","11","Individuals",,,"199",,,,
"01/31/2026","Bronx","10","Individuals",,,,,,,"529"
"01/31/2026","Bronx","9","Individuals",,,"265",,,"277","1,508"
"01/31/2026","Bronx","8","Individuals",,,,,,,"575"
"01/31/2026","Bronx","7","Individuals",,,"772",,,"210","968"
"01/31/2026","Bronx","6","Individuals",,,"88",,,"1,218","1,791"
"01/31/2026","Bronx","5","Individuals",,"205","691",,,"155","1,111"
"01/31/2026","Bronx","4","Individuals",,,"401",,,"295","2,040"
"12/31/2025","Brooklyn","12","Individuals",,,"131",,,,"134"
"12/31/2025","Staten Island","2","Individuals",,,"47",,,,"140"
"12/31/2025","Staten Island","1","Individuals",,,"100","106",,"46","469"
"12/31/2025","Queens","14","Individuals",,"262","203","198",,"235",
"12/31/2025","Queens","13","Individuals",,"68","200","763",,,"564"
"12/31/2025","Queens","12","Individuals",,"519","723","544",,"6,430","1,287"
"12/31/2025","Queens","11","Individuals",,,"72",,,"170",
"12/31/2025","Queens","10","Individuals",,,"165","164",,"669",
"12/31/2025","Queens","9","Individuals",,,"103",,,,
"12/31/2025","Queens","8","Individuals",,,"174",,,"161","310"
"12/31/2025","Queens","7","Individuals",,,"325",,,"70",
"12/31/2025","Queens","6","Individuals",,,"97",,,,"244"
"12/31/2025","Queens","5","Individuals",,,"186",,,,"186"
"12/31/2025","Queens","4","Individuals",,,,"237",,,"537"
"12/31/2025","Queens","3","Individuals",,"194",,"137",,"1,938","802"
"12/31/2025","Queens","2","Individuals",,"287","227","118",,"985","245"
"12/31/2025","Queens","1","Individuals",,,"331","124",,"3,788","586"
"12/31/2025","Manhattan","12","Individuals",,,"425",,,,
"12/31/2025","Manhattan","11","Individuals",,,"1,044",,,,"491"
"12/31/2025","Manhattan","10","Individuals",,,"755",,,,"611"
"12/31/2025","Manhattan","9","Individuals",,,"24",,,,"581"
"12/31/2025","Manhattan","8","Individuals",,,"72",,,"526",
"12/31/2025","Manhattan","7","Individuals",,"344","362",,,"941","324"
"12/31/2025","Manhattan","6","Individuals",,,"491",,,"256","587"
"12/31/2025","Manhattan","5","Individuals",,"311","78","41",,"2,702","369"
"12/31/2025","Manhattan","4","Individuals","154",,"325","262",,"1,112","356"
"12/31/2025","Manhattan","3","Individuals",,,"762","236",,"95","99"
"12/31/2025","Manhattan","2","Individuals",,,,,,"185",
"12/31/2025","Manhattan","1","Individuals",,,,,,"511",
"12/31/2025","Brooklyn","18","Individuals",,"341",,,,"304","748"
"12/31/2025","Brooklyn","17","Individuals",,,,"108",,"188","1,589"
"12/31/2025","Brooklyn","16","Individuals",,,"956","429",,"554","2,244"
"12/31/2025","Brooklyn","15","Individuals",,,,,,"445","164"
"12/31/2025","Brooklyn","14","Individuals",,,"507",,,,"55"
"12/31/2025","Brooklyn","13","Individuals",,,,"72",,,"338"
"12/31/2025","Brooklyn","9","Individuals",,,"357",,,,"394"
"12/31/2025","Brooklyn","8","Individuals",,,"377","87",,,"541"
"12/31/2025","Brooklyn","7","Individuals",,,"343","409",,"304","355"
"12/31/2025","Brooklyn","6","Individuals",,"111","884","271",,"114","494"
"12/31/2025","Brooklyn","5","Individuals",,,"975","434",,"674","1,029"
"12/31/2025","Brooklyn","4","Individuals",,,"198","134",,"42","805"
"12/31/2025","Brooklyn","3","Individuals",,,"826","363",,"455","425"
"12/31/2025","Brooklyn","2","Individuals",,"52","704",,,,"309"
"12/31/2025","Brooklyn","1","Individuals",,"172","1,161",,,"379",
"12/31/2025","Bronx","12","Individuals",,,"572",,,"271","1,063"
"12/31/2025","Bronx","11","Individuals",,,"198",,,,
"12/31/2025","Bronx","10","Individuals",,,,,,,"556"
"12/31/2025","Bronx","9","Individuals",,,"262",,,"279","1,526"
"12/31/2025","Bronx","8","Individuals",,,,,,,"597"
"12/31/2025","Bronx","7","Individuals",,,"656",,,"209","927"
"12/31/2025","Bronx","6","Individuals",,,"78",,,"1,224","1,807"
"12/31/2025","Bronx","5","Individuals",,"193","691",,,"150","1,126"
"12/31/2025","Bronx","4","Individuals",,,"426",,,"300","2,042"
"12/31/2025","Bronx","3","Individuals",,,"760","125",,,"1,319"
"12/31/2025","Bronx","2","Individuals",,"96",,,,,"752"
"12/31/2025","Bronx","1","Individuals",,,"633","160",,"215","1,488"
"11/30/2025","Manhattan","1","Individuals",,,,,,"536",
"11/30/2025","Staten Island","2","Individuals",,,"50",,,,"131"
"11/30/2025","Staten Island","1","Individuals",,,"98","113",,"50","516"
"11/30/2025","Queens","14","Individuals",,"258","202","153",,"237",
"11/30/2025","Queens","13","Individuals",,,"136","765",,"375","570"
"11/30/2025","Queens","12","Individuals","122","495","482","541",,"6,421","1,298"
"11/30/2025","Queens","11","Individuals",,,"73",,,"169",
"11/30/2025","Queens","10","Individuals",,,"167","170",,"659",
"11/30/2025","Queens","9","Individuals",,,"103",,,,
"11/30/2025","Queens","8","Individuals",,,"174",,,"161","301"
"11/30/2025","Queens","7","Individuals",,,"330",,,"71",
"11/30/2025","Queens","6","Individuals",,,"98",,,,"229"
"11/30/2025","Queens","5","Individuals",,,"192",,,,"216"
"11/30/2025","Queens","4","Individuals",,,,"246",,,"535"
"11/30/2025","Queens","3","Individuals",,"200",,"162",,"1,939","790"
"11/30/2025","Queens","2","Individuals",,"292","223","120",,"962","216"
"11/30/2025","Queens","1","Individuals",,,"326","126",,"3,763","502"
"11/30/2025","Manhattan","12","Individuals",,,"424",,,,
"11/30/2025","Manhattan","11","Individuals",,,"1,109",,,,"488"
"11/30/2025","Manhattan","10","Individuals",,,"755",,,,"591"
"11/30/2025","Manhattan","9","Individuals",,,"28",,,,"597"
"11/30/2025","Manhattan","8","Individuals",,,"71",,,"530",
"11/30/2025","Manhattan","7","Individuals",,"352","340",,,"971","336"
"11/30/2025","Manhattan","6","Individuals",,,"515",,,"268","613"
"11/30/2025","Manhattan","5","Individuals",,"330","76","43",,"2,573","376"
"11/30/2025","Manhattan","4","Individuals","150",,"352","230",,"1,119","356"
"11/30/2025","Manhattan","3","Individuals",,,"785","237",,"98","102"
"11/30/2025","Manhattan","2","Individuals",,,,,,"263",
"11/30/2025","Brooklyn","18","Individuals",,"356",,,,"303","744"
"11/30/2025","Brooklyn","17","Individuals",,,,"107",,"180","1,534"
"11/30/2025","Brooklyn","16","Individuals",,,"971","434",,"572","2,155"
"11/30/2025","Brooklyn","15","Individuals",,,,,,"433","172"
"11/30/2025","Brooklyn","14","Individuals",,,"443",,,,"73"
"11/30/2025","Brooklyn","13","Individuals",,,,"75",,,"355"
"11/30/2025","Brooklyn","12","Individuals",,,"131",,,,"138"
"11/30/2025","Brooklyn","9","Individuals",,,"358",,,,"343"
"11/30/2025","Brooklyn","8","Individuals",,,"300","89",,,"519"
"11/30/2025","Brooklyn","7","Individuals",,,"342","417",,"301","347"
"11/30/2025","Brooklyn","6","Individuals",,"107","808","282",,"114","432"
"11/30/2025","Brooklyn","5","Individuals",,,"1,016","433",,"640","1,026"
"11/30/2025","Brooklyn","4","Individuals",,,"196","139",,"42","812"
"11/30/2025","Brooklyn","3","Individuals",,,"835","364",,"437","413"
"11/30/2025","Brooklyn","2","Individuals",,"38","813",,,,"239"
